Date,EEM,EFA,GLD,IWM,QQQ,SPY,TLT
2012-01-03,28.759416580200195,33.38431930541992,155.9199981689453,61.92378234863281,50.37601089477539,99.58343505859375,81.74675750732422
2012-01-04,28.59760856628418,33.1874885559082,156.7100067138672,61.58512878417969,50.588470458984375,99.73961639404297,80.77481079101562
2012-01-05,28.472558975219727,32.695377349853516,157.77999877929688,61.93205261230469,51.00459671020508,100.00518035888672,80.63108825683594
2012-01-06,28.112154006958008,32.249202728271484,157.1999969482422,61.77511978149414,51.1816520690918,99.74745178222656,81.26763916015625
2012-01-09,28.406362533569336,32.37387466430664,156.5,62.0889778137207,51.01344680786133,99.98956298828125,81.12388610839844
2012-01-10,29.024219512939453,32.86597442626953,158.63999938964844,62.99754333496094,51.385284423828125,100.8565444946289,80.98704528808594
2012-01-11,29.046287536621094,32.76099395751953,159.6699981689453,63.245357513427734,51.49153137207031,100.91119384765625,82.04107666015625
2012-01-12,29.163965225219727,32.89878463745117,160.3800048828125,63.43531799316406,51.695167541503906,101.1533432006836,81.92472076416016
2012-01-13,28.899179458618164,32.544471740722656,159.25999450683594,63.09667205810547,51.509239196777344,100.6300277709961,82.73922729492188
2012-01-17,29.450830459594727,32.93159866333008,160.5,63.07190704345703,51.97846603393555,101.02056884765625,83.12251281738281
2012-01-18,30.19371795654297,33.482749938964844,161.60000610351562,64.19525146484375,52.66904067993164,102.13744354248047,82.11639404296875
2012-01-19,30.458499908447266,33.8961181640625,161.22000122070312,64.59168243408203,52.996612548828125,102.6763916015625,80.98704528808594
2012-01-20,30.436437606811523,34.07326889038086,162.07000732421875,64.63301849365234,52.91691589355469,103.05908203125,80.06979370117188
2012-01-23,30.730655670166016,34.20451354980469,163.16000366210938,64.55043029785156,52.93465805053711,102.7935562133789,79.56327819824219
2012-01-24,30.77479362487793,34.014225006103516,162.00999450683594,64.92208862304688,52.83725357055664,102.6763916015625,79.70703887939453
2012-01-25,31.1204833984375,34.3685417175293,166.4199981689453,65.47549438476562,53.501258850097656,103.5355224609375,79.5153579711914
2012-01-26,30.995454788208008,34.381656646728516,167.27000427246094,65.40116119384766,53.31532669067383,103.00440979003906,80.5694808959961
2012-01-27,31.157276153564453,34.44071578979492,168.97000122070312,65.8471908569336,53.47470474243164,102.9575424194336,80.8227310180664
2012-01-30,30.708587646484375,34.03390884399414,168.02999877929688,65.33509063720703,53.51896667480469,102.60606384277344,81.77412414550781
2012-01-31,30.973379135131836,34.2110595703125,169.30999755859375,65.26899719238281,53.58979415893555,102.56703186035156,82.71873474121094
2012-02-01,31.657428741455078,34.74909973144531,169.55999755859375,66.67320251464844,54.023624420166016,103.46521759033203,81.77122497558594
2012-02-02,31.745691299438477,34.82127380371094,171.0500030517578,67.05313110351562,54.191829681396484,103.62923431396484,81.73689270019531
2012-02-03,32.2752799987793,35.36585998535156,167.63999938964844,68.51512145996094,54.93550491333008,105.0820083618164,79.9804458618164
2012-02-06,32.00313949584961,35.19527053833008,167.17999267578125,68.2921142578125,54.8912467956543,105.01171875,80.77635192871094
2012-02-07,32.06931686401367,35.41179275512695,169.6999969482422,68.25080871582031,55.00634765625,105.27727508544922,79.7745590209961
2012-02-08,32.297340393066406,35.536460876464844,168.5,68.39948272705078,55.29850769042969,105.58964538574219,79.83633422851562
2012-02-09,32.28264236450195,35.628318786621094,168.02000427246094,68.06085968017578,55.69691467285156,105.72248077392578,79.23939514160156
2012-02-10,31.56916618347168,34.9525032043457,167.13999938964844,67.12749481201172,55.30735397338867,104.94137573242188,80.26859283447266
2012-02-13,32.08403396606445,35.352745056152344,167.50999450683594,67.99475860595703,55.82085037231445,105.72248077392578,80.37150573730469
2012-02-14,31.819246292114258,35.090274810791016,167.1199951171875,67.68910217285156,55.962520599365234,105.58964538574219,80.79690551757812
2012-02-15,31.907516479492188,35.12965393066406,168.11000061035156,67.12749481201172,55.57297134399414,105.09761810302734,80.6528091430664
2012-02-16,32.253196716308594,35.615196228027344,168.0,68.39122009277344,56.33436965942383,106.26138305664062,80.00785064697266
2012-02-17,32.31205368041992,35.772666931152344,167.35000610351562,68.3829574584961,56.15729522705078,106.54251861572266,79.98728942871094
2012-02-21,32.179656982421875,35.779232025146484,171.02000427246094,67.92042541503906,56.31666564941406,106.58940887451172,79.1021957397461
2012-02-22,32.238502502441406,35.674251556396484,172.94000244140625,67.38353729248047,56.059906005859375,106.24576568603516,80.09706115722656
2012-02-23,32.179656982421875,35.96952438354492,173.02000427246094,68.39122009277344,56.431739807128906,106.71440124511719,80.09706115722656
2012-02-24,32.5032844543457,36.1860466003418,172.22999572753906,68.259033203125,56.626522064208984,106.9487075805664,80.61852264404297
2012-02-27,32.179656982421875,36.0023193359375,171.6999969482422,68.14341735839844,56.70620346069336,107.12832641601562,81.33206939697266
2012-02-28,32.62834167480469,36.33695602416992,173.49000549316406,67.96171569824219,57.281681060791016,107.44075012207031,81.06453704833984
2012-02-29,32.60626983642578,35.864532470703125,164.2899932861328,66.94575500488281,57.024925231933594,107.01901245117188,80.57048797607422
2012-03-01,32.91519546508789,36.271331787109375,166.61000061035156,67.29264831542969,57.47644805908203,107.57353210449219,79.8119888305664
2012-03-02,32.83428192138672,35.93670654296875,166.33999633789062,66.28495025634766,57.43217468261719,107.2454833984375,80.56155395507812
2012-03-05,32.267913818359375,35.746429443359375,165.64999389648438,66.35933685302734,56.83899688720703,106.8081283569336,79.9220199584961
2012-03-06,31.18669319152832,34.60474395751953,162.6999969482422,65.03775787353516,56.2812385559082,105.24601745605469,80.8916244506836
